sl_mult,tp_mult,active_hours,sharpe_ratio,cagr_pct,max_drawdown_pct,n_trades,win_rate_pct
2.5,7.0,0-23,2.133296341174638,46.08783557783953,-11.991446574361142,294,37.755102040816325
3.0,7.0,0-23,1.992962023712848,35.75517466492884,-10.101367028798867,277,40.794223826714806
2.5,5.0,0-23,1.9833307864516971,34.91736049827192,-9.322857190927024,326,44.171779141104295
1.0,7.0,0-23,1.881635579257976,91.81644393802229,-20.45137186206236,398,21.85929648241206
1.0,5.0,0-23,1.7651218891296148,66.94603866795022,-22.150982892944953,424,26.88679245283019
2.0,7.0,0-23,1.7599992314920039,43.98765305065866,-13.147532083582297,324,31.790123456790127
2.0,5.0,0-23,1.6159023972355633,32.81026268205398,-11.77136553344654,354,38.13559322033898
1.5,7.0,0-23,1.5626259814376087,47.00579135568093,-16.519973223483966,350,26.571428571428573
2.5,4.0,0-23,1.561947253280168,23.439294893016683,-8.78929729660347,350,47.714285714285715
3.0,5.0,0-23,1.5516216885753036,22.253559885569942,-8.918596656136693,311,46.30225080385852
2.5,3.0,0-23,1.2896253588927373,16.181671501321283,-10.32211142092166,372,53.76344086021505
3.0,4.0,0-23,1.2878637115606333,16.333972995908287,-9.381125959902267,335,50.74626865671642
2.0,4.0,0-23,1.2618472416012507,21.704793496626507,-10.853057706043678,376,42.02127659574468
1.5,5.0,0-23,1.2230085937360673,28.521799714415508,-16.211461756205956,382,31.675392670157066
1.0,3.0,0-23,1.141039767991188,27.37687102932842,-14.084833009823457,453,35.32008830022075
1.0,4.0,0-23,1.1375462985880953,31.723359966641485,-23.626014408189473,442,28.95927601809955
3.0,7.0,6-22,1.0334484092109857,14.909324528299273,-10.731721999629285,232,37.06896551724138
3.0,5.0,6-22,0.8715153990652842,10.491281758812443,-10.080004349876697,255,43.92156862745098
2.0,3.0,0-23,0.8585897958470057,12.003975816870206,-10.751377876756699,397,47.607052896725435
1.5,4.0,0-23,0.7353388757500526,13.603433633622952,-15.965124240339465,403,34.7394540942928
3.0,4.0,6-22,0.7133204833284716,7.619885300790186,-8.531344261945234,270,48.51851851851852
3.0,7.0,8-20,0.6661119113111736,8.350838700616237,-13.29928635975239,201,34.82587064676617
1.5,3.0,0-23,0.6659955778789511,10.67891089105808,-17.225452028281723,421,41.09263657957244
2.5,7.0,6-22,0.6539316122213333,9.875897401181755,-17.071592250714332,251,31.47410358565737
2.5,5.0,6-22,0.6021783433755082,7.7953803500394825,-14.143472269887592,271,38.74538745387454
1.0,7.0,6-22,0.5668859255196101,14.020242943064343,-33.12198419085581,324,17.59259259259259
3.0,5.0,8-20,0.48529045245999375,5.0129023570931075,-10.080316924321181,218,41.284403669724774
3.0,4.0,8-20,0.4672177972128251,4.402656170072583,-9.5765098769254,231,46.75324675324675
2.5,4.0,6-22,0.4126193528642161,4.532113373423985,-12.892488800725335,283,43.109540636042404
1.0,7.0,8-20,0.29332584665441447,4.5411837088871865,-23.806952561650146,266,16.541353383458645
2.0,5.0,6-22,0.2782594071416273,3.2714418774653975,-15.576241531687518,290,33.44827586206897
2.5,7.0,8-20,0.2673131491172451,2.9649032857734126,-18.39966516041373,220,29.545454545454547
2.0,7.0,6-22,0.24582926085967338,2.9276301856451026,-19.697068485899653,271,26.199261992619927
2.5,3.0,6-22,0.16927670994414587,1.269588800963084,-14.962178509077187,298,49.664429530201346
1.0,5.0,6-22,0.16672115024322218,1.0383627987972988,-25.585716147643296,338,21.597633136094675
2.5,5.0,8-20,0.15910301417914802,1.2378291185402235,-14.758858640528642,235,36.17021276595745
1.5,2.0,0-23,0.04096194917899463,-0.43833627658825813,-14.15998286455281,455,49.89010989010989
1.0,2.0,0-23,0.024461744996278754,-1.2945106725065325,-17.90618863089014,486,41.76954732510288
2.5,4.0,8-20,-0.009784817136406209,-0.7933154268458309,-14.695513770025892,243,40.74074074074074
1.5,7.0,6-22,-0.021776459818342246,-2.944882218419431,-28.914776485172627,293,20.819112627986346
2.5,3.0,8-20,-0.046032123658290465,-0.9879767244394988,-16.667170895298316,254,48.031496062992126
1.0,3.0,6-22,-0.071330115603717,-3.375586123992913,-26.583567651443385,353,31.1614730878187
1.0,5.0,8-20,-0.12905913518699874,-5.470828160963426,-22.19500007988947,277,20.216606498194945
2.0,3.0,6-22,-0.1414156822532158,-2.59350887644485,-23.999590789374817,315,44.12698412698413
2.0,4.0,6-22,-0.16152641364089348,-3.334669501426135,-22.359087456675763,300,36.666666666666664
1.5,5.0,6-22,-0.19879719930413114,-5.542913948436623,-21.157732064823104,312,26.602564102564102
1.5,7.0,8-20,-0.256370931047138,-6.967439026000754,-22.46755415679035,244,19.672131147540984
2.0,7.0,8-20,-0.2972701081843534,-6.2035736062271525,-22.634992657969732,230,23.91304347826087
2.0,5.0,8-20,-0.3144458722840401,-5.525941281846968,-18.55418535038623,246,30.48780487804878
1.0,3.0,8-20,-0.32085197861754167,-7.120191954826338,-22.030467317741593,287,29.61672473867596
1.0,4.0,6-22,-0.366450542973685,-10.34802229505205,-37.88812306390092,348,23.850574712643677
1.5,5.0,8-20,-0.418436153131093,-8.44567750789611,-19.426914912934496,259,25.096525096525095
1.5,3.0,6-22,-0.5161057993729986,-8.701290619647972,-25.57287481627597,333,36.63663663663664
2.0,3.0,8-20,-0.5681307204498235,-7.0867094723924495,-25.882034421201244,266,41.72932330827068
1.5,3.0,8-20,-0.5897377179304227,-8.781081086684562,-23.359327548691713,275,35.63636363636364
1.0,4.0,8-20,-0.6045063838237246,-13.335027366561746,-34.92650499206822,283,22.614840989399294
1.5,4.0,6-22,-0.6190582495111396,-11.496603649576176,-31.543503233799214,322,29.503105590062113
1.5,2.0,6-22,-0.7114537718832009,-9.420932323516883,-22.01544107046233,352,46.590909090909086
2.0,4.0,8-20,-0.7832606207080925,-10.524870843028111,-28.418913300631377,253,33.59683794466403
1.5,4.0,8-20,-0.8747072763832013,-13.784477144286278,-31.1072207877558,266,27.819548872180448
1.0,2.0,6-22,-0.8923215064882158,-14.617998939333143,-35.537869775472835,369,38.21138211382114
1.0,2.0,8-20,-0.897841028810238,-13.214081471415206,-28.083043071975585,297,37.03703703703704
1.5,2.0,8-20,-1.0070797933437017,-11.50885642102054,-25.69871121920024,286,44.40559440559441
