fold,period,train_start,test_start,test_end,best_sl_scale,best_tp_scale,is_sharpe,oos_sharpe,is_cagr,oos_cagr,oos_maxdd,oos_trades,oos_winrate
1,2023-01 → 2023-11,2023-01-01 06:00:00,2023-08-29 06:00:00,2023-11-27 05:00:00,0.75,1.25,1.6989970858237442,-1.2042062349813438,43.061928021793584,-22.134656770656246,-11.021026498887927,25,16.0
2,2023-03 → 2024-01,2023-03-02 06:00:00,2023-10-28 06:00:00,2024-01-26 05:00:00,0.75,1.25,1.1062270945823838,1.7387625054337232,24.819583351021745,44.94701179222231,-6.731086193049649,22,27.27272727272727
3,2023-05 → 2024-03,2023-05-01 06:00:00,2023-12-27 06:00:00,2024-03-26 05:00:00,0.75,1.25,-0.3480249203665099,1.6832590900521658,-8.096453058105169,38.40364746967935,-5.634958785728934,16,31.25
4,2023-06 → 2024-05,2023-06-30 06:00:00,2024-02-25 06:00:00,2024-05-25 05:00:00,0.75,1.25,0.99107368937306,-3.452645595627403,20.61912156658554,-37.6974403888524,-10.896817326176507,20,10.0
5,2023-08 → 2024-07,2023-08-29 06:00:00,2024-04-25 06:00:00,2024-07-24 05:00:00,1.0,0.75,0.6449927859522847,1.2511350665667216,7.858007219474339,18.201570619468853,-3.8129562327691664,25,40.0
6,2023-10 → 2024-09,2023-10-28 06:00:00,2024-06-24 06:00:00,2024-09-22 05:00:00,0.75,0.75,0.9937737808860054,1.5823933666943184,16.003129786740764,27.689795799048955,-6.08281255879237,20,35.0
7,2023-12 → 2024-11,2023-12-27 06:00:00,2024-08-23 06:00:00,2024-11-21 05:00:00,0.75,0.75,1.6940168810367298,-0.9064786995085469,30.846682704315587,-13.54840469432348,-8.548433007253989,20,25.0
8,2024-02 → 2025-01,2024-02-25 06:00:00,2024-10-22 06:00:00,2025-01-20 05:00:00,0.75,0.75,0.4375509794657793,0.11044852197581212,5.83179605129398,0.5128477130944775,-4.474584424440653,24,29.166666666666668
9,2024-04 → 2025-03,2024-04-25 06:00:00,2024-12-21 06:00:00,2025-03-21 05:00:00,1.25,1.25,1.5727799155933917,0.8285039895132612,25.574754248770603,11.25115646789805,-4.8111084382877864,18,27.77777777777778
