window_config,fold,is_sharpe,oos_sharpe,is_cagr,oos_cagr,is_n_trades,oos_n_trades,is_max_dd,oos_max_dd
IS=4m OOS=1m,0,3.059065501901037,-1.8777770010366746,67.86369305605065,-26.212772605480417,26,11,-2.273474265298642,-3.2953971545054044
IS=4m OOS=1m,1,2.0676804838532807,-7.945327576063484,41.58112924014237,-46.15030428075091,33,5,-3.7108345917640584,-4.79890204430405
IS=4m OOS=1m,2,0.9120744099184257,0.7751347511207568,14.511985204096757,11.810768327834698,33,6,-7.559970679542238,-4.401305507966051
IS=4m OOS=1m,3,0.37117224361275913,-4.202477849555825,4.6333656508469545,-32.056341333348136,29,5,-9.22936634413768,-3.275092740747896
IS=4m OOS=1m,4,-2.3050554629524123,0.6856353488638087,-25.315953287283843,11.604422994539586,27,11,-9.166550045240992,-5.919817850563052
IS=4m OOS=1m,5,-1.38000256929605,-1.685975052007799,-17.392337908044908,-19.612440295692334,27,5,-7.912236743113353,-2.251738721570946
IS=4m OOS=1m,6,-0.5955214599539989,-2.773103000459653,-8.91957358571267,-30.447223619220544,27,7,-6.770378316619058,-3.318691583536245
IS=4m OOS=1m,7,-1.5110848136742954,3.212659747250353,-18.869874015244946,70.86421323707333,28,8,-8.928288038659078,-3.2469522495526606
IS=4m OOS=1m,8,0.17767634883153327,4.8825292677250225,1.574226179660676,167.91267544512496,31,7,-9.507358824897318,-1.1776007645452398
IS=4m OOS=1m,9,1.53478693930641,1.8648083642748399,25.737425173509788,24.90786076253899,27,4,-5.539982984204567,-2.225896734730072
IS=4m OOS=1m,10,2.005534197843161,-7.353659631775954,35.563965886533296,-42.99853492067231,27,4,-3.933430453307693,-4.367690824921374
IS=4m OOS=1m,11,1.7828515128708555,-3.6513710347366883,29.14627063803683,-39.0687077043245,24,8,-5.212825188139824,-3.859776632303783
IS=4m OOS=1m,12,0.1007849684165349,-2.702956461879611,0.4503664777610883,-32.837158228448956,24,10,-8.871398411948881,-5.4018019158924915
IS=4m OOS=1m,13,-2.4714199813076916,0.20664698529809977,-25.95654841273064,1.9002250888147332,26,6,-11.708325250985549,-2.716438307741283
IS=4m OOS=1m,14,-1.9980769572741142,0.7565156736022254,-23.485373793567977,11.473110847610712,29,6,-10.921105582664332,-4.407649761017437
IS=4m OOS=1m,15,-0.6383231077225038,1.7580102807842999,-9.898989341459675,29.30793659215576,31,6,-6.852720397815883,-3.226389822966771
IS=4m OOS=1m,16,0.597745367147084,-7.071123450673675,8.2346438801979,-38.297796065783174,29,4,-5.4018019158924915,-3.7636910110007924
IS=4m OOS=1m,17,-0.12189268459785722,1.6067872112283619,-2.369147768004709,33.60443741898611,22,8,-6.868649490220724,-4.424680444655983
IS=4m OOS=1m,18,0.359185212374998,2.4770247509029466,4.293453934219538,56.47350482228954,24,7,-8.628611396605306,-2.2020533093282757
IS=4m OOS=1m,19,0.8856910996754086,2.292634043782754,13.278253919355688,43.69431069283285,25,7,-8.62861139660531,-2.189464477622823
IS=4m OOS=1m,20,1.0372062078567637,0.30982188189961607,16.228169462818308,3.7778364148762567,26,8,-5.582329277326735,-3.28390973685138
IS=4m OOS=1m,21,1.7011725741228736,2.252511898809096,31.92868928187016,42.74234999521131,30,7,-4.424680444655983,-2.763907931748834
IS=4m OOS=1m,22,2.057938422048258,-0.07638253074843443,39.811572820637366,-2.456216899093222,29,8,-3.9250585856051656,-2.8163613960852674
IS=4m OOS=1m,23,1.4269082950731249,-4.232485424852361,24.60238483902648,-48.891353322199684,30,11,-3.9250585856052465,-8.992979899325384
IS=6m OOS=2m,0,1.312135595513928,-0.9945998025747641,21.510114459249753,-12.636933626337775,42,11,-7.559970679542268,-4.7461187573406125
IS=6m OOS=2m,1,0.3754597469911789,-0.27011307662324213,4.6611522232817615,-5.194282261886318,44,16,-9.55676534581827,-6.770378316619012
IS=6m OOS=2m,2,-1.5172476542228817,0.6430574861100795,-19.074431890523346,8.854776231798756,43,15,-10.433988228395261,-3.933430453307693
IS=6m OOS=2m,3,-0.16947850714840326,3.2125015751271366,-3.356898899378391,69.69958293590817,42,12,-9.507358824897363,-2.225896734730076
IS=6m OOS=2m,4,1.2617623452540458,-4.818914276504865,20.285853044177603,-40.53583117257483,43,12,-9.507358824897318,-8.058884347393578
IS=6m OOS=2m,5,0.2875318238020531,-0.059389932794103026,3.1436853418167487,-1.9916368120125538,39,17,-8.871398411948919,-5.4018019158924915
IS=6m OOS=2m,6,0.04494393361868834,1.2454543973311258,-0.3636901592815045,19.688363361285056,41,12,-11.708325250985506,-4.407649761017437
IS=6m OOS=2m,7,-0.7970015328247247,-0.6042208683703328,-11.194592523955194,-9.056510516721906,41,12,-10.921105582664332,-5.582329277326735
IS=6m OOS=2m,8,0.2172401431529714,2.3855952937653555,2.154527722650612,48.921758125711,41,14,-8.62861139660532,-3.2796019568405756
IS=6m OOS=2m,9,1.105218807821166,1.7231615067072563,17.258928819408247,32.006379688435516,38,15,-8.628611396605306,-3.28390973685138
IS=6m OOS=2m,10,1.2758207453296289,-2.4965954097659973,21.106784402565392,-33.483740901301,41,20,-5.582329277326735,-10.130362964727338
IS=8m OOS=2m,0,0.8226184202644294,-0.27011307662324213,11.9146396204725,-5.194282261886318,53,16,-9.556765345818292,-6.770378316619012
IS=8m OOS=2m,1,0.2129408568566208,0.6430574861100795,2.1174038611937895,8.854776231798756,60,15,-10.818758687101543,-3.933430453307693
IS=8m OOS=2m,2,-0.9369464540263205,3.2125015751271366,-12.852144541038967,69.69958293590817,58,12,-13.0634146273957,-2.225896734730076
IS=8m OOS=2m,3,0.7786684865285082,-4.818914276504865,11.069059074331356,-40.53583117257483,54,12,-9.507358824897363,-8.058884347393578
IS=8m OOS=2m,4,0.14048213926404401,-0.059389932794103026,1.0064830924395363,-1.9916368120125538,55,17,-9.507358824897318,-5.4018019158924915
IS=8m OOS=2m,5,0.19744722034578793,1.2454543973311258,1.8382958375811054,19.688363361285056,56,12,-11.708325250985531,-4.407649761017437
IS=8m OOS=2m,6,0.3582988550331297,-0.6042208683703328,4.2516483263331795,-9.056510516721906,53,12,-11.708325250985506,-5.582329277326735
IS=8m OOS=2m,7,-0.7482126864701171,2.3855952937653555,-10.627115812757836,48.921758125711,53,14,-10.922626219381073,-3.2796019568405756
IS=8m OOS=2m,8,0.8212475010469814,1.7231615067072563,12.106376232829374,32.006379688435516,55,15,-8.62861139660532,-3.28390973685138
IS=8m OOS=2m,9,1.2682050132668015,-2.4965954097659973,20.658357128625802,-33.483740901301,53,20,-8.628611396605306,-10.130362964727338
IS=8m OOS=3m,0,0.8226184202644294,-0.990597217962787,11.9146396204725,-14.24441032310375,53,23,-9.556765345818292,-8.928288038659057
IS=8m OOS=3m,1,-0.5019532449222844,3.2125476833332636,-7.833092186712087,69.0705457198841,57,20,-12.882963863287708,-3.2469522495526606
IS=8m OOS=3m,2,0.7786684865285082,-3.939394878971728,11.069059074331356,-37.767059473310674,54,22,-9.507358824897363,-10.921105582664332
IS=8m OOS=3m,3,-0.30180292975369705,0.9360090027420956,-5.02973092415524,13.345974412100169,54,18,-11.708325250985526,-4.497533060462361
IS=8m OOS=3m,4,0.3582988550331297,0.6080093339602938,4.2516483263331795,8.649051856617906,53,19,-11.708325250985506,-5.582329277326735
IS=8m OOS=3m,5,0.14166209021160486,1.9061645963195109,1.0228310210263825,35.28370305954478,56,22,-8.628611396605335,-3.9250585856052465
